"","id","title","publication_date","viewCount","favoriteCount","likeCount","dislikeCount","commentCount","url"
"44","f2o9AbgC-00","BRUNA VIOLA NA EXPOAIA 2011-ALTO ARAGUAIA-MT.wmv","2011-09-17T14:35:53.000Z","8775","0","45","1","5","https://www.youtube.com/watch?v=f2o9AbgC-00"
"45","FADL2eBMSCA","BRUNA VIOLA - ENSAIO - DO BRASIL A ARGENTINA","2013-10-28T03:16:02.000Z","46105","0",NA,NA,NA,"https://www.youtube.com/watch?v=FADL2eBMSCA"
"46","fC5GwTnnbD8","BRUNA VIOLA-SORRISO-MT-2009","2009-09-23T18:28:59.000Z","1569","0","14","0","1","https://www.youtube.com/watch?v=fC5GwTnnbD8"
"47","fChFM5FbBeM","BRUNA VIOLA-SESSENTA DIAS APAIXONADOS-PORTO ESTRELA-MT 21-10-2010.mpg","2010-10-24T00:32:07.000Z","15074","0","83","1","9","https://www.youtube.com/watch?v=fChFM5FbBeM"
"48","fglTm_vHKfU","BRUNA VIOLA-ZUEIRA NA VAN-TOQUE DE COMPRIMENTO DOS MÚSICOS-2011","2011-07-25T21:39:41.000Z","1581","0","10","0","0","https://www.youtube.com/watch?v=fglTm_vHKfU"
"49","FIROK_XtEG0","BRUNA VIOLA-SACO DE OURO-CAMPO NOVO DO PARECIS-MT-05-03-2010.MPG","2010-03-10T18:44:45.000Z","6098","0","15","1","4","https://www.youtube.com/watch?v=FIROK_XtEG0"
"50","fv7du_Mo98k","BRUNA VIOLA SHOW BRASNORTE-MT 21-08-2010 E DAÍ E METEORO.MPG","2010-08-26T03:35:55.000Z","4381","0","16","0","1","https://www.youtube.com/watch?v=fv7du_Mo98k"
"51","FY89faCXMVM","BRUNA VIOLA-ZUEIRA COM A EQUIPE NA VAN-VT NPJ PRODUÇÕES","2010-05-18T18:02:42.000Z","1804","0","20","1","1","https://www.youtube.com/watch?v=FY89faCXMVM"
"52","G2msFQvGB5I","BRUNA VIOLA-ZUEIRA NA VAN- POR QUE OS JOVENS DE HOJE NÃO OUVEM MARIA BETHÂNIA???","2012-11-16T02:57:02.000Z","10836","0","103","4","14","https://www.youtube.com/watch?v=G2msFQvGB5I"
"53","GA7CJF9agz8","BRUNA VIOLA-SINOP-MT-2009","2009-10-04T04:23:47.000Z","675","0","2","0","0","https://www.youtube.com/watch?v=GA7CJF9agz8"
"54","GwdtN4O35Is","BRUNA VIOLA SHOW DIAMANTINO-MT-2010. ABERTURA","2010-04-18T20:47:15.000Z","1912","0","10","1","0","https://www.youtube.com/watch?v=GwdtN4O35Is"
"55","hBDY3jHvVfE","BRUNA VIOLA-SORRISO-MT-2009","2009-09-23T19:01:49.000Z","639","0","6","0","0","https://www.youtube.com/watch?v=hBDY3jHvVfE"
"56","HCwUiBd27yw","BRUNA VIOLA CANTANDO COM JOÃO CARREIRO E CAPATAZ,ATAÍDE E ALEXANDRE,CAIO CESAR E DIEGO,NA TV APARECIDA EM 03 2011 CAMINHEIRO","2011-03-28T20:28:12.000Z","19494","0","70","0","3","https://www.youtube.com/watch?v=HCwUiBd27yw"
"57","Hgx0x8PwJ5U","BRUNA VIOLA ""NO PONTEIO DA VIOLA"" (MAYCK MEIRA E GAUCHINHO) 24/07/2012","2012-07-25T00:16:33.000Z","2667803","0","21605","744","1223","https://www.youtube.com/watch?v=Hgx0x8PwJ5U"
"58","hNMLHbAQydg","BRUNA VIOLA-VIOLA DIVINA (Tião Carreiro e Paraiso)","2013-11-09T20:26:48.000Z","6694449","0",NA,NA,NA,"https://www.youtube.com/watch?v=hNMLHbAQydg"
